station_id,station_name,total_jours_manquants,date_min,date_max
FR30034,Nancy-Charles III,87,2017-08-17,2025-04-11
FR26014,Dijon Trémouille,66,2017-08-17,2025-04-11
FR19007,HALLES,46,2017-08-17,2025-04-11
FR01011,Metz-Centre,36,2017-08-17,2025-04-11
FR31001,GRAND PARC,30,2017-08-17,2025-04-11
FR03068,TOULON FOCH,29,2017-08-17,2025-04-11
FR08616,Nimes Planas,15,2017-08-17,2025-04-11
FR21001,Caen Chemin-Vert,14,2017-08-21,2025-04-11
FR23188,CIM BOUTEILLERIE,14,2017-08-17,2025-04-11
FR05089,Le Havre Lafaurie-montant,12,2017-08-17,2025-04-11
FR23174,GUEDOU,6,2017-08-17,2025-04-11
FR16069,Mulhouse-Briand,2,2017-08-17,2025-04-11
FR23120,BEAUX ARTS,2,2017-08-17,2025-04-11
